# power_id	glyph	secondary	badge	badge_pal	mechanic
ember_trail	boot	wood	flameb	fire	Footfalls leave fire in the caster's wake.
kindle	flame	crimson	up	gold	A burning target takes an empowered first hit.
heat_haze	fist	fire	flameb	crimson	Melee releases a close fire pulse.
scorched_earth	wall	obsidian	flameb	fire	Persistent fire fields erode armor.
pyroclasm	burst	gold	skullb	crimson	Burning deaths detonate outward.
brittle	heart_crack	frost	up	ice	Chilled targets take extra damage.
frost_echo	arrow	steel	snowb	ice	A projectile leaves a frozen patch.
shatter	burst	frost	snowb	steel	A frozen target breaks into shards.
reforge_the_shadow	paw	bone	snowb	ice	A stronger summoned bear bursts with chill.
glacial_sovereign	crown	frost	snowb	ice	Repeated casts sustain nearby chill.
static_cling	link	steel	boltb	amethyst	Lightning chains leave a lingering shock.
crackle_arc	sword	steel	boltb	amethyst	Charged melee arcs to another enemy.
skybreaker	wing	bone	boltb	amethyst	Airborne lightning gains force.
conduit_mark	target	gold	boltb	amethyst	A marked target conducts the next lightning hit.
thunder_lord	bolt	gold	clockb	amethyst	Lightning strikes repeatedly during a short window.
sanctified_strike	skull	bone	sunb	gold	Holy damage smites undead.
fortifying_bond	link	gold	shieldb	holy	Healing an ally strengthens the caster's guard.
guided_fate	arrow	steel	clockb	gold	Guided projectile hits refund cooldown.
wings_of_judgment	wing	gold	sunb	holy	Angel wings empower radiant attacks.
herald_of_dawn	sun	gold	heartb	pink	A dawn pulse heals and protects nearby allies.
step_between	portal	obsidian	up	ender	A teleport prepares an empowered spell.
arcane_echo	arrows3	mana	starb	ender	A projectile creates a phantom copy.
counterspell_riposte	shield_bang	steel	up	ender	A successful counterspell prepares a stronger spell.
black_hole_resonance	portal	void	skullb	ender	Pulled enemies sustain the black hole on death.
unraveled	hourglass	ender	heartb	pink	Lethal damage rewinds location and restores life.
fang_follow_through	fang	bone	leafb	nature	A fang spell prepares a rooting melee hit.
vex_taunt	ghost	bone	eyeb	crimson	A summoned vex diverts an enemy's attention.
creeper_cascade_mastery	skull	moss	plus	emerald	Explosive heads gain an extra chain hop.
shield_wall	wall	steel	shieldb	emerald	A second shield panel guards another direction.
tricksters_aria	mask	obsidian	arrowb	emerald	Invisible projectile casts prepare an ambush.
poisoners_thumb	fang	moss	dropb	nature	Poisoned targets suffer greater damage.
rooted	tree	wood	anchorb	steel	Standing rooted increases recovery and stability.
blight_spread	leaf	moss	arrowsb	crimson	A death spreads blight to nearby enemies.
venomous_harvest	skull	moss	dropb	mana	Poison kills replenish mana.
the_grove_remembers	grove_thorns	wood	no	pink	Lit bark and green thorn tips mark multiple afflictions; the pink cross denies healing.
crimson_tithe	drop	blood	heartb	pink	Blood damage returns life to its caster.
marrow_sense	bone	bone	clockb	crimson	Low health hastens blood casting.
sacrifice_cascade	burst	blood	dropb	crimson	A sacrifice spreads bleeding through nearby foes.
harvest_the_weak	skull	bone	heartb	crimson	Finishing weakened enemies grows maximum health.
the_hearts_toll	heart_crack	blood	up	crimson	Blood spells trade current life for greater force.
forbidden_knowledge	tome	obsidian	coinb	gold	Eldritch knowledge doubles a kill's spoils.
blind_witness	eye	obsidian	no	eldritch	Blinded targets take increased damage.
kinetic_affinity	hand	steel	downb	eldritch	Telekinesis makes a held target vulnerable to falling.
piercing_insight	eye	amethyst	arrowb	eldritch	Revealed targets lose part of their spell resistance.
the_apocrypha_awakens	open_book	obsidian	dropb	mana	A depleted mana reserve awakens forbidden power.
trueshot	target	crimson	arrowb	steel	A centered aim strengthens projectile hits.
ricochet_primer	arrow	wood	plus	steel	A prepared projectile pierces another target.
volley_memory	arrows3	wood	up	crimson	Repeated hits empower the following shot.
